ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,FullName,AlterEgos,Aliases,PlaceOfBirth,FirstAppearance,Publisher,Alignment,Gender,Race,Height_cm,Weight_kg,EyeColor,HairColor,Occupation,Base,GroupAffiliation,Relatives,ImageURL
1,A-Bomb,38,100,17,80,24,64,323,Richard Milhouse Jones,,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,Good,Male,Human,203,441,Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
2,Abe Sapien,88,28,35,65,100,85,401,Abraham Sapien,,Langdon Everett Caul; Abraham Sapien; Langdon Caul,,Hellboy: Seed of Destruction (1993),Dark Horse Comics,Good,Male,Icthyo Sapien,191,65,Blue,No Hair,Paranormal Investigator,,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
3,Abin Sur,50,90,53,64,99,65,421,,,Lagzia,Ungara,"Showcase #22 (October, 1959)",DC Comics,Good,Male,Ungaran,185,90,Blue,No Hair,"Green Lantern, former history professor",Oa,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
4,Abomination,63,80,53,90,62,95,443,Emil Blonsky,,Agent R-7; Ravager of Worlds,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,Bad,Male,Human / Radiation,203,441,Green,No Hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
5,Abraxas,88,63,83,100,100,55,489,Abraxas,,,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,Bad,Male,Cosmic Entity,0,0,Blue,Black,Dimensional destroyer,,Cosmic Beings,"Eternity (""Father"")",https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
6,Absorbing Man,38,80,25,100,98,64,405,Carl Creel,,"Greithoth; ""Crusher"" Creel; Rocky Davis; Dynamite Davis; Lightningbolt; Prisoner #24957","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,Bad,Male,Human,193,122,Blue,No Hair,Professional criminal; former professional boxer,,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
7,Adam Monroe,63,10,12,100,100,64,349,,,Takezo Kensei; Richard Sanders,,Heroes S02E01 - Four Months Later...,NBC - Heroes,Good,Male,,0,0,Blue,Blond,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",,,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
8,Adam Strange,69,10,33,40,37,50,239,Adam Strange,,Warrior of Two Worlds; Savior of Rann,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,Good,Male,Human,185,88,Blue,Blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
9,Agent 13,,46,,,,,,Sharon Carter,Sharon Carter,,,Tales of Suspense #75,Marvel Comics,Good,Female,,173,61,Blue,Blond,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City",Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
10,Agent Bob,10,8,13,5,5,20,61,Bob,,Bob; agent of Hydra; Bob; agent of A.I.M,,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,Good,Male,Human,178,81,Brown,Brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
11,Agent Zero,75,28,38,80,72,95,388,Christoph Nord,,Maverick,Unrevealed location in former East Germany,,Marvel Comics,Good,Male,,191,104,,,"Mercenary, former government operative, freedom fighter",,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",https://www.superherodb.com/pictures2/portraits/10/100/396.jpg
12,Air-Walker,50,85,100,85,100,40,460,Gabriel Lan,,,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,Bad,Male,,188,108,Blue,White,"Former starship captain, Herald of Galactus",,"Former member of Nova Corps, Heralds of Galactus",,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg
13,Ajax,56,48,35,80,34,55,308,Francis,,"""Frankie""; the A-Man; the Attending",,"Deadpool #14 (March, 1998)",Marvel Comics,Bad,Male,Cyborg,193,90,Brown,Black,,,Formerly Weapon X,,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
14,Alan Scott,63,80,23,90,100,32,388,Alan Ladd Wellington Scott,,Green Lantern; White King; Sentinal,Gotham City,All-American Comics 16 (1940),DC Comics,Good,Male,,180,90,Blue,Blond,,Gotham City and New York City; Formerly Capitol City,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/698.jpg
15,Alex Mercer,50,80,42,90,100,50,412,Alexander J. Mercer,,Prototype; Zues; Blacklight,,,Wildstorm,Bad,Male,Human,0,0,,,,,"Gentek, The Infected",Dana Mercer (sister),https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
16,Alex Woolsly,,37,,,,,,Alex Woolsly,,,,Heroes S02E16 - Building 26,NBC - Heroes,Good,Male,,0,0,,,Employee at Sam's Comics,"Costa Verde, CA",,"Mr. Woolsly, Mrs. Woolsly, sister",https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg
